Tip	test
329.00	328.87	-0.13
741.00	740.79	-0.21
1132.00	1132.36	0.36
1396.00	1396.13	0.13
1910.00	1910.10	0.10
810.00	809.90	-0.10
1406.00	1405.99	-0.01
1231.00	1231.01	0.01
1046.00	1045.61	-0.39
1735.00	1734.98	-0.02
1310.00	1309.69	-0.31
161.00	160.73	-0.27
1755.00	1754.86	-0.14
1206.00	1205.98	-0.02
293.00	292.77	-0.23
1197.00	1197.01	0.01
928.00	928.15	0.15
2057.00	2056.76	-0.24
927.00	927.26	0.26
1285.00	1284.51	-0.49
1340.00	1340.27	0.27
1951.00	1950.58	-0.42
1026.00	1025.64	-0.36
1265.00	1264.62	-0.38
2064.00	2064.05	0.05
417.00	416.92	-0.08
744.00	743.80	-0.20
898.00	898.45	0.45
501.00	500.96	-0.04
801.00	801.11	0.11
2000.00	1999.61	-0.39
1388.00	1387.87	-0.13
349.00	349.05	0.05
291.00	290.87	-0.13
1821.00	1820.82	-0.18
1498.00	1498.08	0.08
8.00	8.06	0.06
375.00	375.13	0.13
1737.00	1737.20	0.20
1814.00	1813.60	-0.40
2250.00	2249.55	-0.45
1678.00	1677.83	-0.17
162.00	161.77	-0.23
168.00	167.64	-0.36
1216.00	1215.59	-0.41
293.00	292.89	-0.11
2170.00	2170.09	0.09
1405.00	1404.90	-0.10
2030.00	2030.09	0.09
803.00	803.12	0.12
1532.00	1531.70	-0.30
1903.00	1903.06	0.06
2265.00	2264.75	-0.25
97.00	97.06	0.06
153.00	153.17	0.17
1419.00	1418.99	-0.01
2005.00	2004.69	-0.31
397.00	396.95	-0.05
506.00	506.33	0.33
185.00	185.24	0.24
1040.00	1040.39	0.39
224.00	223.76	-0.24
45.00	44.95	-0.05
512.00	511.67	-0.33
1375.00	1374.89	-0.11
582.00	581.92	-0.08
1890.00	1889.80	-0.20
1645.00	1645.09	0.09
284.00	284.10	0.10
1163.00	1162.51	-0.49
1443.00	1442.90	-0.10
1554.00	1553.57	-0.43
1108.00	1107.82	-0.18
724.00	723.90	-0.10
1501.00	1501.12	0.12
188.00	188.14	0.14
245.00	245.01	0.01
998.00	997.64	-0.36
746.00	746.01	0.01
2.00	1.89	-0.11
2165.00	2165.03	0.03
1886.00	1885.81	-0.19
1464.00	1463.62	-0.38
86.00	86.06	0.06
455.00	454.84	-0.16
877.00	876.66	-0.34
831.00	831.16	0.16
258.00	257.59	-0.41
2276.00	2276.08	0.08
570.00	570.11	0.11
1238.00	1237.65	-0.35
749.00	748.84	-0.16
74.00	73.96	-0.04
1697.00	1697.43	0.43
1815.00	1814.63	-0.37
1477.00	1477.29	0.29
8.00	8.10	0.10
1427.00	1427.00	0.00
1571.00	1570.63	-0.37
1244.00	1244.14	0.14
1779.00	1779.49	0.49
234.00	233.50	-0.50
981.00	981.45	0.45
573.00	573.23	0.23
913.00	913.09	0.09
77.00	76.93	-0.07
1187.00	1186.76	-0.24
196.00	195.96	-0.04
1864.00	1863.94	-0.06
681.00	681.04	0.04
60.00	59.97	-0.03
1004.00	1003.68	-0.32
700.00	699.99	-0.01
615.00	614.76	-0.24
1242.00	1241.98	-0.02
2098.00	2098.26	0.26
2272.00	2272.31	0.31
721.00	720.80	-0.20
1356.00	1355.78	-0.22
1696.00	1695.69	-0.31
913.00	912.73	-0.27
923.00	923.37	0.37
1746.00	1745.73	-0.27
441.00	440.91	-0.09
1758.00	1757.82	-0.18
1476.00	1475.56	-0.44
2009.00	2008.80	-0.20
1609.00	1609.15	0.15
957.00	957.44	0.44
896.00	895.95	-0.05
1482.00	1481.81	-0.19
2001.00	2001.02	0.02
2123.00	2122.82	-0.18
1428.00	1428.08	0.08
2093.00	2092.60	-0.40
1161.00	1160.92	-0.08
2099.00	2098.87	-0.13
Error.
1792.00	1749.23	-42.77
1490.00	1489.73	-0.27
42.00	41.83	-0.17
972.00	972.09	0.09
1615.00	1614.65	-0.35
1898.00	1898.39	0.39
1221.00	1220.97	-0.03
2206.00	2205.71	-0.29
1966.00	1965.98	-0.02
320.00	319.76	-0.24
44.00	43.87	-0.13
1799.00	1798.90	-0.10
573.00	572.93	-0.07
96.00	96.16	0.16
1738.00	1738.29	0.29
1502.00	1501.97	-0.03
1094.00	1093.87	-0.13
1393.00	1393.09	0.09
533.00	533.06	0.06
894.00	894.12	0.12
326.00	326.05	0.05
1444.00	1444.15	0.15
385.00	384.93	-0.07
416.00	416.04	0.04
2061.00	2060.91	-0.09
1825.00	1824.85	-0.15
239.00	238.96	-0.04
2227.00	2227.30	0.30
20.00	19.92	-0.08
445.00	445.17	0.17
340.00	339.98	-0.02
1131.00	1130.94	-0.06
517.00	516.85	-0.15
1043.00	1042.69	-0.31
1443.00	1442.98	-0.02
530.00	530.11	0.11
2254.00	2253.63	-0.37
1937.00	1937.07	0.07
1070.00	1070.05	0.05
1378.00	1378.25	0.25
125.00	124.80	-0.20
382.00	381.81	-0.19
605.00	604.98	-0.02
2266.00	2265.52	-0.48
417.00	416.92	-0.08
1506.00	1505.92	-0.08
1437.00	1437.08	0.08
2246.00	2246.00	-0.00
61.00	60.92	-0.08
150.00	150.16	0.16
1795.00	1795.34	0.34
1916.00	1915.80	-0.20
1765.00	1764.82	-0.18
388.00	387.85	-0.15
1054.00	1054.40	0.40
1767.00	1767.13	0.13
1620.00	1619.96	-0.04
1912.00	1912.00	0.00
1923.00	1923.02	0.02
1910.00	1909.82	-0.18
2172.00	2171.92	-0.08
55.00	55.03	0.03
1723.00	1723.21	0.21
276.00	275.89	-0.11
1463.00	1462.70	-0.30
968.00	967.92	-0.08
2196.00	2196.39	0.39
1232.00	1232.16	0.16
2006.00	2005.65	-0.35
1680.00	1679.97	-0.03
1659.00	1659.16	0.16
189.00	188.89	-0.11
1278.00	1278.43	0.43
1569.00	1568.53	-0.47
253.00	253.11	0.11
2202.00	2201.53	-0.47
457.00	456.84	-0.16
2133.00	2132.91	-0.09
981.00	980.80	-0.20
1167.00	1166.55	-0.45
629.00	628.79	-0.21
1198.00	1198.11	0.11
695.00	694.81	-0.19
25.00	24.94	-0.06
301.00	300.89	-0.11
979.00	978.95	-0.05
1883.00	1882.72	-0.28
